,evento,ano,qualis,categoria
0,Brazilian Conference on Intelligent System,2020,-,periodico
1,6th IEEE Latin-American Conference on Communications (LATINCOM),2014,-,periodico
2,the Afternoon Workshop,2018,-,periodico
3,17th IEEE International Conference and Workshops on Engineering of Computer-Based Systems,2010,-,periodico
4,International Conference on Algorithms and Architectures for Parallel Processing (ICA3PP),2007,-,periodico
5,2016 IEEE 16th International Conference on Bioinformatics and Bioengineering (BIBE),,-,periodico
6,IGARSS 2019 2019 IEEE International Geoscience and Remote Sensing Symposium,2019,-,periodico
7,2013 20th Working Conference on Reverse Engineering (WCRE),2013,-,periodico
8,15th RECOMB Comparative Genomics Satellite Conference,2017,-,periodico
9,Proceedings of the 2nd. IEEE Workshop on Fault-Tolerant Parallel and Distributed Systems.,1997,-,periodico
10,International Conference on Parallel and Distributed Processing Techniques and Applications (PDPTA),2015,-,periodico
11,Concurso de Teses e Dissertações da SBC,2020,-,periodico
12,XII Encontro de Iniciação Científic da UCDB,2008,-,periodico
13,Encontro de Teoria da Computação (ETC 2020),2020,-,periodico
14,2012 13th Symposium on Computer Systems XIII Simp sio de Sistemas Computacionais (WSCADSSC),,-,periodico
15,"2015 IEEE 26th International Conference on Applicationspecific Systems, Architectures and Processors (ASAP)",,-,periodico
16,22nd International Conference on Computers in Education (ICCE),2014,-,periodico
17,2013 International Conference on Parallel and Distributed Systems (ICPADS),,-,periodico
18,The 32nd International Symposium on Algorithms and Computation (ISAAC 2021),2021,-,periodico
19,Jornadas Sul-Americanas de Engenharia Estrutural,1997,-,periodico
20,VI Encontro de Iniciação Científica,1997,-,periodico
21,2015 IEEE 28th International Symposium on ComputerBased Medical Systems (CBMS),2015,-,periodico
22,Congresso Brasileiro de Agroinformática (SBIAgro 2017),2017,-,periodico
23,Nono Encontro Nacional de Inteligência Artificial (ENIA 2012),2012,-,periodico
24,Integra - UFMS,2019,-,periodico
25,Sessão de Ferramentas do Simpósio Brasileiro de Engenharia de Software (SBES),2012,-,periodico
26,XX Brazilian Software Quality Symposium (SBQS),2021,-,periodico
27,27th Symposium On Applied Computing (ACM SAC),2012,-,periodico
28,II Simpósio sobre Inovação e Criatividade Científica na Embrapa,2010,-,periodico
29,The 16th International Conference on Computational Science and Its Applications,2016,-,periodico
30,2013 Brazilian Power Electronics Conference (COBEP 2013),,-,periodico
31,"High Performance Computing and Communications, Third International Conference, HPCC 2007",2007,-,periodico
32,VII Simpósio Brasileiro de Qualidade de Software,2008,-,periodico
33,VII Brazilian Symposium on Bioinformatics,2012,-,periodico
34,"10th International Conference, GECON - Economics of Grids, Clouds, Systems, and Services",2013,-,periodico
35,I Jornada Científica do Estado de Mato Grosso,2006,-,periodico
36,Integra UFMS,2020,-,periodico
37,ACM-SIAM Symposuim on Discrete Algorithms,2005,-,periodico
38,VIII Workshop em Sistemas Computacionais de Alto Desempenho (WSCAD 2007),2007,-,periodico
39,IV Workshop de teses de doutorado em andamento do IC-UNICAMP,2008,-,periodico
40,V Simpósio de Teses e Dissertações,2000,-,periodico
41,Workshop de Gerência de Projetos de Software do Simpósio Brasileiro de Qualidade de Software,2012,-,periodico
42,"2013 IEEE International Conference on Systems, Man and Cybernetics (SMC 2013)",,-,periodico
43,30th ACM Symposium on Applied Computing,2015,-,periodico
44,the 2011 ACM Symposium,,-,periodico
45,XXI Simpósio em Sistemas Computacionais de Alto Desempenho,2020,-,periodico
46,http://wscad.facom.ufms.br/,2019,-,periodico
47,WSCAD 2014 - XV Simpósio em Sistemas Computacionais de Alto Desempenho,2014,-,periodico
