,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC
0,21cw,ieee conference on norbert wiener in the 21st century,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IEEE+Conference+on+Norbert+Wiener+in+the+21st+Century&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,10,1,B4,B2,-
1,3dcve,international workshop on collaborative virtual environments,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Collaborative+Virtual+Environments&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,6,1,B4,B3,-
2,3dic,international 3d system integration conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=evjhABQdhckJ.2018,Relevante,14,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,14,-,B1,B1,-
3,3dipm,"three-dimensional image processing, measurement and applications",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Three-Dimensional+Image+Processing%2C+Measurement+and+Applications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,6,1,B5,B3,-
4,3dor,eurographics workshop on 3d object retrieval,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Eurographics+Workshop+on+3D+Object+Retrieval&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,9,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,9,1,B4,B2,-
5,3dtv,"3dtv conference: the true vision-capture, transmission and display of 3d video",1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=UGI1glTIoVcJ.2018,nulo,9,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,9,-,B1,B2,-
6,3dui,ieee symposium on 3d user interfaces,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=TdKRGdqFx4QJ.2018,Top10,19,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,19,-,B1,A4,-
7,3dv,international conference on 3d vision,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=A_JnpJHOiAEJ.2018,Top20,25,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,25,-,-,A2,-
8,3pgcic,"international conference on p2p, parallel, grid, cloud and internet computing",1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=6exX79YOdS8J.2018,nulo,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13,-,B1,B1,-
9,a-test,"est - international workshop on automating test case design, selection and evaluation",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Automating+Test+Case+Design%2C+Selection+and+Evaluation&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,4,1,B4,B4,-
10,aaai,conference on artificial intelligence,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=PV9sQN5dnPsJ.2018,Top10,69,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,69,-,A1,A1,-
11,aaate,association for the advancement of assistive technology in europe congress,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:07:40,categorias 3 e 4 não são atualizadas,-,-,B5,-,-
12,aamas,international conference on autonomous agents and multiagent systems,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=yWxsQWGuQ-sJ.2018,Top10,40,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,40,-,A1,A1,-
13,abciber,congresso brasileiro de pesquisadores em cibercultura,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:07:40,categorias 3 e 4 não são atualizadas,-,-,-,-,-
14,abz,"international abz conference asm, alloy, b, tla, vdm, z",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=P_bGcOzNXgIJ.2019,Top20,13,A4,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13,-,-,B1,-
15,ac-hci,international conference on augmented cognition,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Augmented+Cognition&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,15,A4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,15,1,B2,A4,-
16,acc,american control conference,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=tgZe9odv5lUJ.2019,Relevante,41,A1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,41,-,-,A1,-
17,accv,asian conference on computer vision,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=C6G2a_KY88AJ.2018,Top10,30,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,30,-,-,A2,-
18,ace,international conference on advances in computer entertainment technology,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=PIZ9zvbRNZEJ.2018,Relevante,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13,-,B1,B1,-
19,ace-x,international conference on advanced computational engineering and experimenting,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Advanced+Computational+Engineering+and+Experimenting&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,1,1,-,B4,-
20,achi-iaria,iaria international conference on advances in computer-human interactions,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IARIA+International+Conference+on+Advances+in+Computer-Human+Interactions&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,Relevante,5,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,5,1,B5,B4,-
21,acii,international conference on affective computing and intelligent interaction,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=n8TWwN8Kc5cJ.2018,Relevante,23,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,23,-,-,A3,-
