,Unnamed: 0,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set
0,0,1o Simpósio de Geotecnologias no Pantanal,2006.0,-,conferencia,-,simposio de mecanica computacional,workshop de tecnologia adaptativa,simposio internacional de informatica educatica,simposio internacional de informatica educatica,67,67,59,59,,,,
1,1,Applied Power Electronics Conference,2007.0,-,conferencia,-,ieee world haptics conference,sbmo/ieee mtt-s international microwave and optoelectronics conference,asia-pacific web conference,agile conference,65,78,63,77,,,,
2,2,Power Electronics Specialist Conference,2007.0,-,conferencia,-,information security conference,agile conference,international conference on electronic government,agile conference,63,81,68,77,,A3,,
3,3,12th European Conference on Power Electronics and Applications,2007.0,-,conferencia,-,european conference on modelling foundations and applications,european conference on modelling foundations and applications,european conference on modelling foundations and applications,european control conference,76,80,68,83,,B1,,A2
4,4,XVI Congresso Brasileiro de Automática,2006.0,-,conferencia,-,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de automatica,congresso brasileiro de automatica,94,100,94,100,B4,B4,B4,B4
5,5,18th International World Wide Web Conference,2009.0,-,conferencia,-,international world wide web conferences,international world wide web conferences,international world wide web conferences,international world wide web conferences,93,99,93,93,A1,A1,A1,A1
6,6,"2nd Brazilian Symposium on Graphs, Algorithms, and Combinatorics",,-,conferencia,-,brazilian symposium on geoinformatics,european symposium on algorithms,algorithms and data structures symposium,european symposium on algorithms,67,75,65,84,,,,A3
7,7,4th International Workshop on Efficient and Experimental Algorithms,2005.0,-,conferencia,-,international workshop on combinatorial algorithms,international i*workshop,international workshop on combinatorial algorithms,international i*workshop,77,92,77,96,,B4,,B4
8,8,Seminário de Tecnologia da Informação Aplicada,2008.0,-,conferencia,-,simposio brasileiro de tecnologia da informacao,simposio brasileiro de tecnologia da informacao,simposio brasileiro de tecnologia da informacao,simposio brasileiro de tecnologia da informacao,73,80,77,77,,B4,,
9,9,7th Brazilian Symposium in Information and Human Language Technology,2009.0,-,conferencia,-,brazilian symposium in information and human language technology,brazilian symposium in information and human language technology,brazilian symposium in information and human language technology,brazilian symposium in information and human language technology,97,100,97,100,B1,B1,B1,B1
10,10,International Conference on Computational Processing of the Portuguese Language,2010.0,-,conferencia,-,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,100,100,100,100,B1,B1,B1,B1
11,11,Eleventh International Conference on Computational Linguistics and Intelligent Text Processing,2010.0,-,conferencia,-,international conference on computational science and engineering,international conference on computational linguistics,international conference on intelligent text processing and computational linguistics,international conference on intelligent text processing and computational linguistics,73,100,95,100,,A2,A3,A3
12,12,Fourteenth Conference on Computational Natural Language Learning,2010.0,-,conferencia,-,conference on computational natural language learning,conference on computational natural language learning,conference on computational natural language learning,conference on natural language learning,91,100,91,100,A2,A2,A2,A2
13,13,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2011.0,-,conferencia,-,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,100,100,100,100,A2,A2,A2,A2
14,14,Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning,2012.0,-,conferencia,-,conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,conference on natural language learning,71,100,71,100,,A1,,A2
15,15,Computational Processing of the Portuguese Language,2012.0,-,conferencia,-,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,78,100,78,100,,B1,,B1
16,16,International Conference on Computational Processing of Portuguese - PhD Dissertation Contest,2014.0,-,conferencia,-,international conference on computational processing of the portuguese language,international conference on computational science,international conference on computational processing of the portuguese language,international cad conference,81,90,78,92,B1,B2,,B2
17,17,Brazilian Conference on Intelligent Systems,2014.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,99,100,99,99,A4,A4,A4,A4
18,18,IEEE International Joint Conference on Neural Networks,2017.0,-,conferencia,networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,100,100,100,100,A2,A2,A2,A2
19,19,Brazilian Conference on Intelligent Systems,2017.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,99,100,99,99,A4,A4,A4,A4
20,20,XIII Brazilian Congress on Computational Intelligence,2017.0,-,conferencia,-,ieee world congress on computational intelligence,ieee world congress on computational intelligence,ieee world congress on computational intelligence,ieee world congress on computational intelligence,84,86,76,87,B4,B4,,B4
21,21,2019 8th Brazilian Conference on Intelligent Systems (BRACIS),2019.0,-,conferencia,bracis,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,sai intelligent systems conference,82,100,83,94,A4,A4,A4,B1
22,22,IEEE International Conference on Tools with Artificial Intelligence,2019.0,-,conferencia,-,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,conference on artificial intelligence,100,100,100,100,A3,A3,A3,A1
23,23,ACM Symposium on Applied Computing,2020.0,-,conferencia,-,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,100,100,100,100,A2,A2,A2,A2
24,24,Big Data Analytics in the Social and Ubiquitous Context,2016.0,-,conferencia,-,international conference on mobile and ubiquitous multimedia,social simulation conference,international conference on big data analytics and knowledge discovery,mobility analytics from spatial and social data,54,57,61,69,,,,
25,25,Working Conference on Mining Software Repositories,2020.0,-,conferencia,-,working conference on mining software repositories,working conference on mining software repositories,working conference on mining software repositories,working conference on mining software repositories,100,100,100,100,A1,A1,A1,A1
26,26,Brazilian Conference on Intelligent System,2020.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,100,100,100,100,A4,A4,A4,A4
27,27,"IX Seminário de Ensino, Pesquisa e Extensão - SEPE e III Encontro de Iniciação Científica - EIC",1994.0,-,conferencia,-,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,seminario de computacao e mercado,encontro nacional da associacao nacional de pos-graduacao e pesquisa em administracao,seminario de computacao e mercado,47,64,54,60,,,,
28,28,I SRTF - I Simpósio Regional de Tolerância a Falhas,1996.0,-,conferencia,-,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,ieee international symposium on defect and fault tolerance in vlsi systems,workshop de testes e tolerancia a falhas,59,68,63,71,,,,
29,29,15 Simpósio Brasileiro de Redes de Computadores,1997.0,-,conferencia,-,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,77,94,77,96,,A4,,A4
30,30,DOA ´01 - 3rd International Symposium on Distributed Objects and Applications,2001.0,-,conferencia,-,ieee/acm international symposium on distributed simulation and real-time applications,international symposium on distributed computing,ieee/acm international symposium on distributed simulation and real-time applications,international symposium on distributed computing,73,85,75,88,,A3,,A3
31,31,FTDCS´2001 - 8th IEEE Workshop on Future Trends of Distributed Computing Systems,2001.0,-,conferencia,-,international conference on distributed computing systems,international conference on distributed computing systems,international conference on distributed computing systems workshops,workshop of urban computing,64,74,63,88,,,,B1
32,32,The Sixth International Symposium on Autonomous Decentralized Systems,2003.0,-,conferencia,-,international symposium on autonomous decentralized systems,international symposium on autonomous decentralized systems,international symposium on autonomous decentralized systems,international symposium on autonomous decentralized systems,92,100,92,100,B1,B1,B1,B1
33,33,International Symposium on Distributed Objects & Applications,2002.0,-,conferencia,-,international symposium on distributed computing,international symposium on distributed computing,international symposium on distributed computing,ieee/acm international symposium on distributed simulation and real-time applications,81,85,80,93,A3,A3,A3,B2
34,34,I Mostra UNIDERP de Ciência e Tecnologia,1999.0,-,conferencia,-,international conference on software technologies,audio mostly conference,usenix conference on file and storage technologies,usenix conference on file and storage technologies,54,57,60,60,,,,
35,35,The 18th International Conference on Advanced Information Networking and Applications (AINA 2004),2004.0,-,conferencia,networking,ieee international conference on advanced information networking and applications,ieee international conference on advanced information networking and applications,ieee international conference on advanced information networking and applications,international conference on information networking,88,95,86,100,A2,A2,A2,A3
36,36,Workshop de Tolerância a Falhas (WTF 2009),2009.0,-,conferencia,wtf,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,76,78,78,87,,,,B4
37,37,XI Congresso Brasileiro de Agroinformática (SBIAgro 2017),2017.0,-,conferencia,sbiagro,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,congresso brasileiro de agroinformatica,81,100,83,100,B4,B4,B4,B4
38,38,VII SCTF - Simpósio de Computadores Tolerantes a Falhas,1997.0,-,conferencia,-,workshop de testes e tolerancia a falhas,workshop de testes e tolerancia a falhas,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,57,68,58,63,,,,
39,39,2º SEMANA EDUCACIONAL,2003.0,-,conferencia,-,simposio de mecanica computacional,information systems education conference,simposio de mecanica computacional,simposio de mecanica computacional,58,67,55,55,,,,
40,40,"VII Workshop de Teses, Dissertações e Trabalhos de Iniciação Científica",2012.0,-,conferencia,-,workshop de testes e tolerancia a falhas,iberchip workshop,workshop de gerencia e operacao de redes e servicos,workshop iberchip,58,65,56,64,,,,
41,41,2012 IEEE Latin America Conference on Cloud Computing and Communications (LatinCloud),,-,conferencia,latin,ieee latin america conference on cloud computing and communications,ieee latin america conference on cloud computing and communications,ieee latin america conference on cloud computing and communications,ieee latin america conference on cloud computing and communications,88,100,89,100,B4,B4,B4,B4
42,42,Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg),2014.0,-,conferencia,sbseg,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,95,100,96,100,B1,B1,B1,B1
43,43,ACM 7th International conference on Management of computational and collective Intelligence in Digital EcoSystems (MEDES?15),2015.0,-,conferencia,medes,international conference on management of emergent digital ecosystems,international cad conference,international conference on management of emergent digital ecosystems,international joint conference on computational intelligence,68,86,68,95,,B2,,B3
44,44,6th IEEE Latin-American Conference on Communications (LATINCOM),2014.0,-,conferencia,latin,ieee latin-american conference on communications,ieee latin-american conference on communications,ieee latin-american conference on communications,ieee latin-american conference on communications,86,100,88,100,B2,B2,B2,B2
45,45,IEEE/ACM Third International Workshop on Global and Peer-to-Peer Computing on Large Scale Distributed Systems,2003.0,-,conferencia,-,ieee/acm international workshop on automation of software testing,international i*workshop,ieee international symposium on realtime distributed computing,international i*workshop,61,92,64,96,,B4,,B4
46,46,IEEE Global Telecommunications Conference (Globecom 2003),2003.0,-,conferencia,globecom,ieee global communications conference,ieee global communications conference,international conference on telecommunications,ieee oceans conference,79,89,69,81,,A1,,A4
47,47,IEEE Tenth International Conference on Parallel and Distributed Systems,2004.0,-,conferencia,-,international conference on parallel and distributed systems,international conference on parallel and distributed systems,international conference on parallel and distributed systems,international conference on parallel and distributed systems,92,100,92,100,B1,B1,B1,B1
48,48,IEEE/ACM/IFIP International Conference on HIgh Performance Computing,2004.0,-,conferencia,-,ieee international conference on high performance computing,ieee international conference on high performance computing,ieee international conference on high performance computing,ieee international conference on high performance computing,93,95,93,100,A3,A3,A3,A3
49,49,The Fifth IEEE International Conference on Peer-to-Peer Computing,2005.0,-,conferencia,-,international conference on peer-to-peer computing,international conference on peer-to-peer computing,international conference on peer-to-peer computing,international conference on peer-to-peer computing,87,100,87,100,B2,B2,B2,B2
50,50,IEEE 39th Annual Hawaii International Conference on System Sciences (HICSS 2006),2006.0,-,conferencia,hicss,hawaii international conference on system sciences,hawaii international conference on system sciences,hawaii international conference on system sciences,hawaii international conference on system sciences,77,100,78,100,,A1,,A1
51,51,9th International Workshop on Peer-to-Peer Systems (IPTPS'10),2010.0,-,conferencia,-,international workshop on software ecosystems,international i*workshop,international workshop on document analysis systems,international i*workshop,68,92,65,96,,B4,,B4
52,52,XVIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC'10),2010.0,-,conferencia,sbrc,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,89,100,91,100,A4,A4,A4,A4
53,53,XXIX Concurso de Teses e Dissertações da Sociedade Brasileira de Computação  (CTD),2011.0,-,conferencia,-,congresso da associacao nacional de pesquisa e pos-graduacao em musica,simposio brasileiro de computacao musical,simposio brasileiro de redes de computadores e sistemas distribuidos,seminario de computacao e mercado,50,71,60,62,,,,
54,54,XXXI Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC'13),2013.0,-,conferencia,sbrc,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,90,100,91,100,A4,A4,A4,A4
55,55,XXXIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC'15),2015.0,-,conferencia,sbrc,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,89,100,90,100,A4,A4,A4,A4
56,56,the Conference of the ACM Special Interest Group,2017.0,-,conferencia,group,international conference of the biometrics special interest group,international conference of the biometrics special interest group,international conference of the biometrics special interest group,international conference of the biometrics special interest group,80,81,74,95,B1,B1,,B1
57,57,the ACM SIGCOMM 2018 Conference,2018.0,-,conferencia,sigcomm,acm sigcomm conference,acm sigcomm conference,acm sigcomm conference,acm sigcomm conference,83,77,83,100,A1,,A1,A1
58,58,XXXVII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,2019.0,-,conferencia,-,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,95,100,95,100,A4,A4,A4,A4
59,59,the ACM SIGCOMM 2019 Conference Posters and Demos,2019.0,-,conferencia,sigcomm,acm sigcomm conference,acm sigcomm conference,acm sigcomm conference,acm sigcomm conference,62,77,62,100,,,,A1
60,60,the 15th International Conference,2019.0,-,conferencia,-,metaheuristics international conference,international cad conference,international test conference,"international conference on probabilistic, combinatorial and asymptotic methods for the analysis of algorithms",81,92,87,92,B3,B2,A4,B4
61,61,IFIP Networking Conference (NETWORKING),2020.0,-,conferencia,networking,ifip networking conference,ifip networking conference,ifip networking conference,ifip networking conference,80,100,83,100,A2,A2,A2,A2
62,62,USENIX Annual Technical Conference 2021 (USENIX ATC'21),2021.0,-,conferencia,-,usenix annual technical conference,usenix annual technical conference,usenix annual technical conference,usenix annual technical conference,76,100,78,100,,A1,,A1
63,63,the Afternoon Workshop,2018.0,-,conferencia,-,international i*workshop,international workshop on collaborative virtual environments,latin american test workshop,international workshop on the use of gis in emergency management,65,68,68,71,,,,
64,64,IV Simpósio Brasileiro de Sistemas Multimídia e Hipermídia,1998.0,-,conferencia,iv,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas eletricos,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas eletricos,76,85,76,86,,B4,,B4
