,issn,periodico,Ajuste_SBC,link_scopus,percentil,Qualis_Final,data-atualizacao,data-tentativa,logs
0,1619-4500,4or (berlin),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=145295,64,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
1,0094-6354,a.a.n.a. journal,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=26729,31,B2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
2,1528-7106,aace international transactions,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=50013,nulo,nulo,nulo,23/01/2022 03:00:01,sem valor de percentil
3,2212-6716,aasri procedia,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
4,2316-9451,abakos,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
5,0102-6720,abcd : arquivos brasileiros de cirurgia digestiva,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100229216,72,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
6,2165-6282,academic journal of science,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
7,1519-7859,acao ergonomica,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
8,0949-1775,accreditation and quality assurance,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23415,33,B2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
9,1525-9293,acis international journal of computer and information science,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
10,1559-6915,acm applied computing review,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
11,1932-2232,acm communications in computer algebra,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100198457,3,B4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
12,0360-0300,acm computing surveys,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23038,99,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
13,1084-6654,acm journal of experimental algorithmics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12100155656,57,A4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
14,1550-4832,acm journal on emerging technologies in computing systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700152798,74,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
15,1559-1662,acm sigmobile mobile computing and communications review,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
16,1936-7228,acm transactions on accessible computing (taccess),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700186855,69,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
17,1549-6325,acm transactions on algorithms,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700153006,89,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
18,1544-3566,acm transactions on architecture and code optimization,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12100154406,55,A4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
19,1556-4665,acm transactions on autonomous and adaptive systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4800153205,87,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
20,1529-3785,acm transactions on computational logic,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23051,77,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
21,0734-2071,acm transactions on computer systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12213,80,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
22,1073-0516,acm transactions on computer-human interaction,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=26199,88,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
23,2378-962X,acm transactions on cyber-physical systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100935201,87,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
24,0362-5915,acm transactions on database systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=13044,92,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
25,1084-4309,acm transactions on design automation of electronic systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18662,47,B1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
26,1539-9087,acm transactions on embedded computing systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=10300153313,66,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
27,0730-0301,acm transactions on graphics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24972,94,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
28,2157-6904,acm transactions on intelligent systems and technology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700190323,89,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
29,1533-5399,acm transactions on internet technology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=15773,82,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
30,1556-4681,acm transactions on knowledge discovery from data,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5800173377,82,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
31,0098-3500,acm transactions on mathematical software,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18120,80,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
32,1049-3301,acm transactions on modeling and computer simulation,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=23054,74,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
33,1551-6857,acm transactions on multimedia computing communications and applications,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700151918,81,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
34,2329-4949,acm transactions on parallel computing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100881468,50,A4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
35,0164-0925,acm transactions on programming languages and systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=27836,46,B1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
36,1936-7406,acm transactions on reconfigurable technology and systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100217640,75,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
37,1550-4859,acm transactions on sensor networks,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4700152843,77,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
38,1049-331X,acm transactions on software engineering and methodology,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18121,71,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
39,2374-0353,acm transactions on spatial algorithms and systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100857591,85,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
40,1559-1131,acm transactions on the web,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5800207369,73,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
41,0001-5970,acta mechanica,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19747,77,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
42,1000-0674,acta micropalaeontologica sinica (beijing),nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
43,1755-375X,acta ophthalmologica (2008. print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700184600,90,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
44,1679-9216,acta scientiae veterinariae (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19900191821,17,B3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
45,1807-8664,acta scientiarum. technology (online),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18300156736,36,B2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
46,0001-706X,acta tropica,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21288,91,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
47,1610-1928,acustica united with acta acustica,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=12941,94,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
48,1570-8705,ad hoc networks,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=26799,89,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
49,1355-6215,addiction biology (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=24749,94,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
50,1841-4311,advanced modelling and optimization,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
51,2164-6627,"advanced science, engineering and medicine",nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
52,1178-6949,advances and applications in bioinformatics and chemistry,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19900192734,64,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
53,0972-3617,advances and applications in statistics,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
54,0188-7009,advances in applied clifford algebras,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=4900152804,60,A4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
55,1687-7470,advances in artificial intelligence,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
56,0219-5259,advances in complex systems,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18761,39,B1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
57,1019-7168,advances in computational mathematics,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=28041,69,A3,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
58,1862-5347,advances in data analysis and classification,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5200152822,78,A2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
59,2255-2863,advances in distributed computing and artificial intelligence journal,nulo,nulo,nulo,nulo,nulo,23/01/2022 03:00:01,Other error occurred: 'entry' - Status_code: 200
60,1582-7445,advances in electrical and computer engineering (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18000156702,59,A4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
61,0965-9978,advances in engineering software,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18089,97,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
62,0965-9978,advances in engineering software,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=18089,97,A1,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
63,1687-5893,advances in human-computer interaction (print),nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=19700182320,52,A4,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
64,1867-5662,advances in intelligent and soft computing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=21100778844,nulo,nulo,nulo,23/01/2022 03:00:01,sem valor de percentil
65,2194-5357,advances in intelligent systems and computing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5100152904,27,B2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
66,2194-5357,advances in intelligent systems and computing,nulo,https://www.scopus.com/source/sourceInfo.url?sourceId=5100152904,27,B2,23/01/2022 03:00:01,23/01/2022 03:00:01,atualizado com sucesso
