,evento,ano,qualis,categoria
0,1o Simpósio de Geotecnologias no Pantanal,2006,-,conferencia
1,Applied Power Electronics Conference,2007,-,conferencia
2,Power Electronics Specialist Conference,2007,-,conferencia
3,12th European Conference on Power Electronics and Applications,2007,-,conferencia
4,XVI Congresso Brasileiro de Automática,2006,-,conferencia
5,18th International World Wide Web Conference,2009,-,conferencia
6,"2nd Brazilian Symposium on Graphs, Algorithms, and Combinatorics",,-,conferencia
7,4th International Workshop on Efficient and Experimental Algorithms,2005,-,conferencia
8,Seminário de Tecnologia da Informação Aplicada,2008,-,conferencia
9,7th Brazilian Symposium in Information and Human Language Technology,2009,-,conferencia
10,International Conference on Computational Processing of the Portuguese Language,2010,-,conferencia
11,Eleventh International Conference on Computational Linguistics and Intelligent Text Processing,2010,-,conferencia
12,Fourteenth Conference on Computational Natural Language Learning,2010,-,conferencia
13,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2011,-,conferencia
14,Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning,2012,-,conferencia
15,Computational Processing of the Portuguese Language,2012,-,conferencia
16,International Conference on Computational Processing of Portuguese - PhD Dissertation Contest,2014,-,conferencia
17,Brazilian Conference on Intelligent Systems,2014,-,conferencia
18,IEEE International Joint Conference on Neural Networks,2017,-,conferencia
19,Brazilian Conference on Intelligent Systems,2017,-,conferencia
20,XIII Brazilian Congress on Computational Intelligence,2017,-,conferencia
21,2019 8th Brazilian Conference on Intelligent Systems (BRACIS),2019,-,conferencia
22,IEEE International Conference on Tools with Artificial Intelligence,2019,-,conferencia
23,ACM Symposium on Applied Computing,2020,-,conferencia
24,Big Data Analytics in the Social and Ubiquitous Context,2016,-,conferencia
25,Working Conference on Mining Software Repositories,2020,-,conferencia
26,Brazilian Conference on Intelligent System,2020,-,conferencia
27,"IX Seminário de Ensino, Pesquisa e Extensão - SEPE e III Encontro de Iniciação Científica - EIC",1994,-,conferencia
28,I SRTF - I Simpósio Regional de Tolerância a Falhas,1996,-,conferencia
29,15 Simpósio Brasileiro de Redes de Computadores,1997,-,conferencia
30,DOA ´01 - 3rd International Symposium on Distributed Objects and Applications,2001,-,conferencia
31,FTDCS´2001 - 8th IEEE Workshop on Future Trends of Distributed Computing Systems,2001,-,conferencia
32,The Sixth International Symposium on Autonomous Decentralized Systems,2003,-,conferencia
33,International Symposium on Distributed Objects & Applications,2002,-,conferencia
34,I Mostra UNIDERP de Ciência e Tecnologia,1999,-,conferencia
35,The 18th International Conference on Advanced Information Networking and Applications (AINA 2004),2004,-,conferencia
36,Workshop de Tolerância a Falhas (WTF 2009),2009,-,conferencia
37,XI Congresso Brasileiro de Agroinformática (SBIAgro 2017),2017,-,conferencia
38,VII SCTF - Simpósio de Computadores Tolerantes a Falhas,1997,-,conferencia
39,2º SEMANA EDUCACIONAL,2003,-,conferencia
40,"VII Workshop de Teses, Dissertações e Trabalhos de Iniciação Científica",2012,-,conferencia
41,2012 IEEE Latin America Conference on Cloud Computing and Communications (LatinCloud),,-,conferencia
42,Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais (SBSeg),2014,-,conferencia
43,ACM 7th International conference on Management of computational and collective Intelligence in Digital EcoSystems (MEDES?15),2015,-,conferencia
44,6th IEEE Latin-American Conference on Communications (LATINCOM),2014,-,conferencia
45,IEEE/ACM Third International Workshop on Global and Peer-to-Peer Computing on Large Scale Distributed Systems,2003,-,conferencia
46,IEEE Global Telecommunications Conference (Globecom 2003),2003,-,conferencia
47,IEEE Tenth International Conference on Parallel and Distributed Systems,2004,-,conferencia
48,IEEE/ACM/IFIP International Conference on HIgh Performance Computing,2004,-,conferencia
49,The Fifth IEEE International Conference on Peer-to-Peer Computing,2005,-,conferencia
50,IEEE 39th Annual Hawaii International Conference on System Sciences (HICSS 2006),2006,-,conferencia
51,9th International Workshop on Peer-to-Peer Systems (IPTPS'10),2010,-,conferencia
52,XVIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC'10),2010,-,conferencia
53,XXIX Concurso de Teses e Dissertações da Sociedade Brasileira de Computação  (CTD),2011,-,conferencia
54,XXXI Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC'13),2013,-,conferencia
55,XXXIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC'15),2015,-,conferencia
56,the Conference of the ACM Special Interest Group,2017,-,conferencia
57,the ACM SIGCOMM 2018 Conference,2018,-,conferencia
58,XXXVII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,2019,-,conferencia
59,the ACM SIGCOMM 2019 Conference Posters and Demos,2019,-,conferencia
60,the 15th International Conference,2019,-,conferencia
61,IFIP Networking Conference (NETWORKING),2020,-,conferencia
62,USENIX Annual Technical Conference 2021 (USENIX ATC'21),2021,-,conferencia
63,the Afternoon Workshop,2018,-,conferencia
64,IV Simpósio Brasileiro de Sistemas Multimídia e Hipermídia,1998,-,conferencia
65,"IX International ACM Conference on Hypertext and Hypermedia, Hypertext?98",1998,-,conferencia
66,"VIII International ACM Conference on Hypertext and Hypermedia, Hypertext?97",1997,-,conferencia
67,II Encontro para o Processamento Computacional do Português Escrito e Falado,1996,-,conferencia
68,Workshop de pesquisas de tese em Engenharia de Software,1996,-,conferencia
69,International Symposium on Mathematics/Science Education and Technology,1994,-,conferencia
70,IV Simpósio Brasileiro de Informática na Educação,1993,-,conferencia
71,VII Annual Conference on Writing and Computers,1995,-,conferencia
72,Semana Comemorativa dos 20 anos da Pós-Graduação em Ciências da Computação e Matemática Computacional do ICMSC-USP,1995,-,conferencia
73,IX Conferencia Interamericana de Educación Matemaática,1995,-,conferencia
74,"II Workshop em Sistemas Hipermídia, WOSH'96",1996,-,conferencia
75,II CIT,1995,-,conferencia
76,XX Colóquio de Incentivo a Pesquisa,1993,-,conferencia
77,XIX Colóquio de Incentivo a Pesquisa,1992,-,conferencia
78,ICECE2000 - International Conference on Engineering and Computer Education,2000,-,conferencia
79,WISE'99- Workshop Internacional Sobre Educação Virtual,1999,-,conferencia
80,SUCESU 2004 - CONGRESSO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,2004,-,conferencia
81,"WWW/Internet 2007, IADIS International Conference WWW/Internet",2003,-,conferencia
82,3o Congresso Nacional de Iniciação Científica,2003,-,conferencia
83,Conferência IADIS IBERO-AMERICANA WWW/Internet 2004,2004,-,conferencia
84,"WWW/Internet 2004, IADIS International Conference WWW/Internet",2004,-,conferencia
85,Conferência IADIS Ibero-Americana WWW/Internet 2004,2004,-,conferencia
86,IV Evento Interno de Iniciação Científica da UFMS,2004,-,conferencia
87,IV Encontro Interno de Iniciação Científica da UFMS,2004,-,conferencia
88,Congresso Ibero-americano de Extensão Universitária / Congreso Iberoamericano de Extensión Universitaria,2005,-,conferencia
89,XI Simpósio Brasileiro de Sistemas Multimídia e Web,2005,-,conferencia
90,WebMedia - Brazilian Symposium on Multimedia and the Web,2005,-,conferencia
91,XXXII Conferencia Lationoamericana de Informática,2006,-,conferencia
92,International Conference On Engineering And Computer Education,2007,-,conferencia
93,I Conferência Internacional & II Seminário Regional de Educação Profissional e Tecnológica,2007,-,conferencia
94,"WWW/Internet 2006, IADIS International Conference WWW/Internet",2006,-,conferencia
95,"WWW/Internet 2007, IADIS International Conference WWW/Internet",2007,-,conferencia
96,SEMISH - XXXIII Seminário Integrado de Software e Hardware,2006,-,conferencia
97,VIII Congresso Ibero-americano de Extensão Universitária,2005,-,conferencia
98,3o Congresso Brasileiro de Extensão Universitária,2006,-,conferencia
99,WTD - Workshop de Teses e Dissertações do Webmedia?2005 - Simpósio Brasileiro de Sistemas Multimídia e Web,2005,-,conferencia
100,"6th ACIS International Conference on Software Engineering Research, Management and Applications",2008,-,conferencia
101,Proceedings of the 26th annual ACM international conference on Design of communication,2008,-,conferencia
102,Annual Joint Conference Integrating Technology into Computer Science Education,2007,-,conferencia
103,XXXVII Seminário Integrado de Software e Hardware - XXX Congresso da Sociedade Brasileira de Computação,2010,-,conferencia
104,CLEI 2006 - XXXII Conferencia Lationoamericana de Informática,2006,-,conferencia
105,XXXVI Conferência Latino-americana de Informática (XXXVI CLEI),2010,-,conferencia
106,WebMedia - Brazilian Symposium on Multimedia and the Web,2010,-,conferencia
107,WebMedia - Brazilian Symposium on Multimedia and the Web,2006,-,conferencia
108,7o Congresso Brasileiro de Agroinformática,2009,-,conferencia
109,Simpósio Brasileiro de Sistemas de Informação,2011,-,conferencia
