,Unnamed: 0,evento,ano,qualis,match_sigla,conferencia_score,fuzz_token_sort_ratio
0,0,1o Simpósio de Geotecnologias no Pantanal,2006.0,-,im,workshop de tecnologia adaptativa,67
1,1,Applied Power Electronics Conference,2007.0,-,pp,sbmo/ieee mtt-s international microwave and optoelectronics conference,78
2,2,Power Electronics Specialist Conference,2007.0,-,wer,agile conference,81
3,3,12th European Conference on Power Electronics and Applications,2007.0,-,euro,european conference on modelling foundations and applications,80
4,4,XVI Congresso Brasileiro de Automática,2006.0,-,re,congresso brasileiro de automatica,100
5,5,18th International World Wide Web Conference,2009.0,-,er,international world wide web conferences,99
6,6,"2nd Brazilian Symposium on Graphs, Algorithms, and Combinatorics",,-,or,european symposium on algorithms,75
7,7,4th International Workshop on Efficient and Experimental Algorithms,2005.0,-,er,international i*workshop,92
8,8,Seminário de Tecnologia da Informação Aplicada,2008.0,-,sem,simposio brasileiro de tecnologia da informacao,80
9,9,7th Brazilian Symposium in Information and Human Language Technology,2009.0,-,or,brazilian symposium in information and human language technology,100
10,10,International Conference on Computational Processing of the Portuguese Language,2010.0,-,er,international conference on computational processing of the portuguese language,100
11,11,Eleventh International Conference on Computational Linguistics and Intelligent Text Processing,2010.0,-,er,international conference on computational linguistics,100
12,12,Fourteenth Conference on Computational Natural Language Learning,2010.0,-,er,conference on computational natural language learning,100
13,13,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2011.0,-,euro,european conference on machine learning and principles and practice of knowledge discovery in databases,100
14,14,Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning,2012.0,-,er,conference on empirical methods in natural language processing,100
15,15,Computational Processing of the Portuguese Language,2012.0,-,om,international conference on computational processing of the portuguese language,100
16,16,International Conference on Computational Processing of Portuguese - PhD Dissertation Contest,2014.0,-,er,international conference on computational science,90
17,17,Brazilian Conference on Intelligent Systems,2014.0,-,er,brazilian conference on intelligent system,100
18,18,IEEE International Joint Conference on Neural Networks,2017.0,-,er,ieee international joint conference on neural networks,100
19,19,Brazilian Conference on Intelligent Systems,2017.0,-,er,brazilian conference on intelligent system,100
20,20,XIII Brazilian Congress on Computational Intelligence,2017.0,-,re,ieee world congress on computational intelligence,86
