,Unnamed: 0,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
0,0,Simpósio Brasileiro de Automação Inteligente,20090.0,-,conferencia,-,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,simposio brasileiro de automacao inteligente,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,simposio brasileiro de automacao inteligente,B4
1,1,IEEE Latin American Robotics Symposium,20100.0,-,conferencia,latin,ieee latin american robotics symposium,ieee latin american robotics symposium,ieee latin american robotics symposium,ieee latin american robotics symposium,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,ieee latin american robotics symposium,B1
2,2,APPROX-RANDOM,20120.0,-,conferencia,approx-random,approx-random,approx-random,approx-random,approx-random,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,approx-random,A3
3,3,Brazilian Symposium on Programming Languages,20050.0,-,conferencia,-,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,brazilian symposium on programming languages,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,brazilian symposium on programming languages,A4
4,4,Symposium on Integrated Circuits and Systems Design,20050.0,-,conferencia,-,symposium on integrated circuits and systems design,symposium on integrated circuits and systems design,symposium on integrated circuits and systems design,symposium on integrated circuits and systems design,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,symposium on integrated circuits and systems design,A4
5,5,International Conference on Security and Management,20020.0,-,conferencia,-,international conference on security and management,international conference on security and management,international conference on security and management,"international conference on autonomous infrastructure, management and security",100.0,100.0,100.0,100.0,B2,B2,B2,B2,ratio partial sort,international conference on security and management,B2
6,6,IEEE Congress on Evolutionary Computation,20040.0,-,conferencia,-,ieee congress on evolutionary computation,ieee congress on evolutionary computation,ieee congress on evolutionary computation,ieee congress on evolutionary computation,100.0,100.0,100.0,100.0,A1,A1,A1,A1,all,ieee congress on evolutionary computation,A1
7,7,Network and Distributed System Security Symposium,,-,conferencia,-,network and distributed system security symposium,network and distributed system security symposium,network and distributed system security symposium,network and distributed system security symposium,100.0,100.0,100.0,100.0,A1,A1,A1,A1,all,network and distributed system security symposium,A1
8,8,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,20160.0,-,conferencia,-,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,simposio brasileiro de redes de computadores e sistemas distribuidos,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,simposio brasileiro de redes de computadores e sistemas distribuidos,A4
9,9,Information Security Conference,20180.0,-,conferencia,-,information security conference,ifip international information security conference,information security conference,australasian conference on information security and privacy,100.0,100.0,100.0,100.0,A4,A4,A4,A4,ratio sort,information security conference,A4
10,10,Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais,20190.0,-,conferencia,-,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro em seguranca da informacao e de sistemas computacionais,B1
11,11,SEMINARIO INTEGRADO DE SOFTWARE E HARDWARE,19960.0,-,conferencia,-,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,seminario integrado de software e hardware,B1
12,12,Brazilian Symposium on Bioinformatics,20120.0,-,conferencia,-,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,brazilian symposium on bioinformatics,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,brazilian symposium on bioinformatics,B1
13,13,Advanced Concepts for Intelligent Vision Systems,20060.0,-,conferencia,-,advanced concepts for intelligent vision systems,advanced concepts for intelligent vision systems,advanced concepts for intelligent vision systems,advanced concepts for intelligent vision systems,100.0,100.0,100.0,100.0,B2,B2,B2,B2,all,advanced concepts for intelligent vision systems,B2
14,14,Seminário Integrado de Software e Hardware,20210.0,-,conferencia,-,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,seminario integrado de software e hardware,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,seminario integrado de software e hardware,B1
15,15,Simpósio Brasileiro de Sistemas Colaborativos,20060.0,-,conferencia,-,simposio brasileiro de sistemas colaborativos,simposio brasileiro de sistemas colaborativos,simposio brasileiro de sistemas colaborativos,simposio brasileiro de sistemas colaborativos,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de sistemas colaborativos,B1
16,16,Simpósio Brasileiro de Qualidade de Software,20080.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
17,17,IEEE/IFIP Network Operations and Management Symposium,20200.0,-,conferencia,-,ieee/ifip network operations and management symposium,ieee/ifip network operations and management symposium,ieee/ifip network operations and management symposium,ieee/ifip network operations and management symposium,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,ieee/ifip network operations and management symposium,A3
18,18,International Conference on Web engineering,20030.0,-,conferencia,-,international conference on web engineering,international conference on web engineering,international conference on web engineering,international conference on web engineering,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,international conference on web engineering,A3
19,19,Forum on specification and Design Languages,20050.0,-,conferencia,-,forum on specification and design languages,forum on specification and design languages,forum on specification and design languages,forum on specification and design languages,100.0,100.0,100.0,100.0,B3,B3,B3,B3,all,forum on specification and design languages,B3
20,20,International Symposium on System-on-Chip,20050.0,-,conferencia,-,international symposium on system-on-chip,international symposium on system-on-chip,international symposium on system-on-chip,international symposium on system-on-chip,100.0,100.0,100.0,100.0,B2,B2,B2,B2,all,international symposium on system-on-chip,B2
21,21,Design Automation Conference,20040.0,-,conferencia,-,design automation conference,asia and south pacific design automation conference,design automation conference,asia and south pacific design automation conference,100.0,100.0,100.0,100.0,A1,A2,A1,A2,ratio sort,design automation conference,A1
22,22,IEEE International Symposium on Workload Characterization,20110.0,-,conferencia,-,ieee international symposium on workload characterization,ieee international symposium on workload characterization,ieee international symposium on workload characterization,ieee international symposium on workload characterization,100.0,100.0,100.0,100.0,A3,A3,A3,A3,all,ieee international symposium on workload characterization,A3
23,23,Workshop on Circuits and Systems Design,20120.0,-,conferencia,-,workshop on circuits and systems design,workshop on circuits and systems design,workshop on circuits and systems design,workshop on circuits and systems design,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,workshop on circuits and systems design,B1
24,24,Workshop on the Theory of Transactional Memory,20150.0,-,conferencia,-,workshop on the theory of transactional memory,workshop on the theory of transactional memory,workshop on the theory of transactional memory,workshop on the theory of transactional memory,100.0,100.0,100.0,100.0,B4,B4,B4,B4,all,workshop on the theory of transactional memory,B4
25,25,Simpósio em Sistemas Computacionais de Alto Desempenho,20210.0,-,conferencia,-,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,simposio em sistemas computacionais de alto desempenho,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio em sistemas computacionais de alto desempenho,B1
26,26,"IEEE International Conference on Application-specific Systems, Architectures and Processors",20160.0,-,conferencia,-,"ieee international conference on application-specific systems, architectures and processors","ieee international conference on application-specific systems, architectures and processors","ieee international conference on application-specific systems, architectures and processors","ieee international conference on application-specific systems, architectures and processors",100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,"ieee international conference on application-specific systems, architectures and processors",A4
27,27,Extended Semantic Web Conference,20140.0,-,conferencia,-,extended semantic web conference,extended semantic web conference,extended semantic web conference,extended semantic web conference,100.0,100.0,100.0,100.0,A2,A2,A2,A2,all,extended semantic web conference,A2
