,Column1,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
0,877,SBAC-PAD,20030.0,-,conferencia,sbac-pad,approx-random,asia-pacific conference on intelligent robot systems,fast software encryption,fast software encryption,38.0,62.0,31.0,31.0,,,,,nulo,international symposium on computer architecture and high performance computing,A4
1,698,XX Brazilian Software Quality Symposium (SBQS),20210.0,-,conferencia,sbqs,annual reliability and maintainability symposium,ieee haptics symposium,brazilian symposium on software engineering,brazilian symposium on software engineering,55.0,64.0,71.0,79.0,,,,,nulo,simposio brasileiro de qualidade de software,B1
2,142,WSCAD-WIC,20100.0,-,conferencia,wscad,workshop de informatica medica,ow - international conference on ad-hoc networks and wireless,workshop iberchip,ieee/wic/acm international conference on intelligent agent technology,36.0,56.0,38.0,50.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
3,1027,http://wscad.facom.ufms.br/,20190.0,-,conferencia,wscad,workshop-escola de informatica teorica,caise forum,acm conference on hypertext and social media,acm conference on hypertext and social media,34.0,45.0,41.0,41.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
4,811,XVII Congresso da Sociedade Brasileuira de Computação,19970.0,-,conferencia,-,congresso brasileiro de automatica,simposio brasileiro de computacao musical,congresso brasileiro de pesquisadores em cibercultura,congresso brasileiro de informatica em saude,64.0,69.0,64.0,68.0,,,,,nulo,workshops do congresso brasileiro de informatica na educacao,B2
5,116,WSCAD-WIC 2016 (Workshop de Iniciação Científica),20160.0,-,conferencia,wscad,workshop de informatica medica,workshop iberchip,international workshop on unification,workshop iberchip,56.0,71.0,55.0,64.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
6,321,2012 13th Symposium on Computer Systems XIII Simp sio de Sistemas Computacionais (WSCADSSC),,-,conferencia,-,simposio brasileiro sobre fatores humanos em sistemas computacionais,simposio de mecanica computacional,simposio em sistemas computacionais de alto desempenho,real-time systems symposium,55.0,76.0,60.0,77.0,,,,,sort,simposio em sistemas computacionais de alto desempenho,B1
7,326,2012 13th Symposium on Computer Systems  XIII Simp sio de Sistemas Computacionais (WSCADSSC),,-,conferencia,-,simposio brasileiro sobre fatores humanos em sistemas computacionais,simposio de mecanica computacional,simposio em sistemas computacionais de alto desempenho,real-time systems symposium,55.0,76.0,60.0,77.0,,,,,nulo,simposio em sistemas computacionais de alto desempenho,B1
8,10,International Conference on Computational Processing of the Portuguese Language,20100.0,-,conferencia,-,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,international conference on computational processing of the portuguese language,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,international conference on computational processing of the portuguese language,B1
9,13,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,20110.0,-,conferencia,-,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,european conference on machine learning and principles and practice of knowledge discovery in databases,100.0,100.0,100.0,100.0,A2,A2,A2,A2,all,european conference on machine learning and principles and practice of knowledge discovery in databases,A2
10,18,IEEE International Joint Conference on Neural Networks,20170.0,-,conferencia,networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,ieee international joint conference on neural networks,100.0,100.0,100.0,100.0,A2,A2,A2,A2,all,ieee international joint conference on neural networks,A2
11,22,IEEE International Conference on Tools with Artificial Intelligence,20190.0,-,conferencia,-,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,ieee international conference on tools with artificial intelligence,conference on artificial intelligence,100.0,100.0,100.0,100.0,A3,A3,A3,A1,ratio partial sort,ieee international conference on tools with artificial intelligence,A3
12,23,ACM Symposium on Applied Computing,20200.0,-,conferencia,-,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,acm symposium on applied computing,100.0,100.0,100.0,100.0,A2,A2,A2,A2,all,acm symposium on applied computing,A2
13,25,Working Conference on Mining Software Repositories,20200.0,-,conferencia,-,working conference on mining software repositories,working conference on mining software repositories,working conference on mining software repositories,working conference on mining software repositories,100.0,100.0,100.0,100.0,A1,A1,A1,A1,all,working conference on mining software repositories,A1
14,26,Brazilian Conference on Intelligent System,20200.0,-,conferencia,-,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,brazilian conference on intelligent system,100.0,100.0,100.0,100.0,A4,A4,A4,A4,all,brazilian conference on intelligent system,A4
15,109,Simpósio Brasileiro de Sistemas de Informação,20110.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
16,110,Simpósio Brasileiro de Sistemas de Informação,20150.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas de informacao,simposio brasileiro em seguranca da informacao e de sistemas computacionais,100.0,100.0,100.0,100.0,A4,A4,A4,B1,ratio partial sort,simposio brasileiro de sistemas de informacao,A4
17,111,Simpósio Brasileiro de Qualidade de Software,20140.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,100.0,100.0,100.0,100.0,B1,B1,B1,B1,all,simposio brasileiro de qualidade de software,B1
18,118,International Conference on Parallel and Distributed Processing Techniques and Applications,20000.0,-,conferencia,-,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel processing,100.0,100.0,100.0,100.0,B2,B2,B2,A3,ratio partial sort,international conference on parallel and distributed processing techniques and applications,B2
19,123,International Conference on Parallel and Distributed Processing Techniques and Applications,20010.0,-,conferencia,-,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel processing,100.0,100.0,100.0,100.0,B2,B2,B2,A3,ratio partial sort,international conference on parallel and distributed processing techniques and applications,B2
