;id_lattes;nome;sexo;idade_academica;quantidade_producoes;producoes_por_idade;nota_qualis;precisao_nota_qualis;softwares_participacao;orientacoes;orientacoes_por_idade;instituicao_trabalho;estado_instituicao_trabalho;graduacao;ano_graduacao;posdoc;ano_posdoc;mestrado;ano_mestrado;doutorado;ano_doutorado;ATIVIDADES_DE_DIRECAO_E_ADMINISTRACAO;ATIVIDADES_DE_PESQUISA_E_DESENVOLVIMENTO;ATIVIDADES_DE_ENSINO;ATIVIDADES_DE_EXTENSAO_UNIVERSITARIA;ATIVIDADES_DE_PARTICIPACAO_EM_PROJETO;grande_area_conhecimento;area_conhecimento;subarea_conhecimento
0;0010659969702455;Milton Ernesto Romero Romero;M;40;27;0.675;1.3;0.14814814814814814;7;7;0.175;Universidade Federal de Mato Grosso do Sul;MS;Engenharia Mecanica;1982;;2011;Engenharia Elétrica;1988;Engenharia Sistemistica e Informatica;1999;0;1;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
1;0157902406122102;Renan Albuquerque Marks;M;13;6;0.46153846153846156;1.875;0.8333333333333334;8;4;0.3076923076923077;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;2009;;;Ciência da Computação;2012;Ciências da Computação;;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
2;0201367515815381;Ricardo Pannain;M;40;11;0.275;4.5;0.6363636363636364;0;7;0.175;Pontifícia Universidade Católica de Campinas;SP;Engenharia Elétrica;1982;;;Engenharia Elétrica;1988;Engenharia Elétrica;1999;7;1;2;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
3;0225560551183999;Esther Luna Colombini;F;20;45;2.25;9.05;0.5777777777777777;12;4;0.2;Universidade Estadual de Campinas;SP;Bacharelado em Ciência da Computação;2002;;;Engenharia Eletrônica e Computação;2005;Engenharia Eletrônica e Computação;2014;0;2;0;0;1;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Inteligência Artificial
4;0288820412130500;Lehilton Lelis Chaves Pedrosa;;15;15;1.0;3.5;0.5333333333333333;4;6;0.4;Universidade Estadual de Campinas;SP;Ciência da Computação;2007;;2015;Ciência da Computação;2010;Ciência da Computação;2014;0;0;0;0;3;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Algoritmos de Aproximação
5;0544106600515308;Bruno Magalhães Nogueira;M;16;33;2.0625;14.7;0.7272727272727273;9;4;0.25;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;2006;;;Ciências da Computação e Matemática Computacional;2009;Ciências da Computação e Matemática Computacional;2013;0;1;0;0;1;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Inteligência Artificial
6;0597440372595970;Awdren de Lima Fontão;;13;42;3.230769230769231;12.325;0.6666666666666667;0;4;0.3076923076923077;Universidade Federal de Mato Grosso do Sul;MS;Bacharelado em Ciência da Computação;2009;;;Informática;2016;Informática;2019;0;1;0;0;2;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
7;0758877444698557;Paulo Cesar Centoducatte;M;40;23;0.575;8.35;0.8260869565217391;0;12;0.3;Universidade Estadual de Campinas;SP;Engenharia Elétrica;1982;;;Ciência da Computação;1992;Ciência da Computação;2000;2;1;3;0;5;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
8;0781750320198526;Rodrigo Funabashi Jorge;M;24;11;0.4583333333333333;0.05;0.09090909090909094;3;6;0.25;Universidade Federal de Mato Grosso do Sul;MS;Bacharelado em Ciência da Computação;1998;;;Ciências da Computação e Matemática Computacional;2002;Ciência da Computação;2016;0;0;2;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
9;0837336907399333;Tomasz Kowaltowski;;56;9;0.16071428571428573;0.725;0.2222222222222222;8;5;0.08928571428571429;Universidade Estadual de Campinas;SP;Engenharia Elétrica Eletrônica;1966;;1981;Ciência da Computação;1970;Ciência da Computação;1973;1;1;2;1;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
