,producoes
0,"BARROS, K. O. S.2019BARROS, K. O. S. ; SILVA, LUCIANO ÉDIPO PEREIRA DA ; NEVES, Y. P. ; SILVA, L. R. . Parceria Empresa-Universidade para pesquisa em TI. Revista ETCPAN, v. 2, p. 37, 2019. 
"
1,"
BARROS, K. O. S.2019BARROS, K. O. S. ; SILVA, LUCIANO ÉDIPO PEREIRA DA ; NEVES, Y. P. ; SILVA, L. R. . Parceria Empresa-Universidade para pesquisa em TI. Revista ETCPAN, v. 2, p. 37, 2019. 
"
2,"
SILVA, L. É. P.2010

SILVA, L. É. P.; BRACHT, E. C. . Uma nova abordagem para o Cálculo de Balanço Hídrico Climatológico. Revista Brasileira de Computação Aplicada, v. 2, p. 2-16, 2010. Citações:1
"
3,"
NASCIMENTO, FABIANA ; SILVA, LUCINEIDE DA ; NONATO, KARLA ; SILVA, LUCIANO ÉDIPO PEREIRA DA
 . Uma Proposta de Jogo Educacional para o Ensino e Aprendizagem de 
Geometria. In: XXVIII Simpósio Brasileiro de Informática na Educação 
SBIE (Brazilian Symposium on Computers in Education), 2017, Recife. 
Porto Alegre: Sociedade Brasileira de Computação, 2017. p. 1757-1759. 
"
4,"
SOUSA, RAPHAEL DE ; SILVA, LUCIANO ÉDIPO PEREIRA DA
 . BRAVO Sistema Web de Apoio à Pesquisa em Educação. In: IV Congresso 
Brasileiro de Informática na Educação, 2015, Maceió. p. 105-114. 
"
5,"
FIETZ, C. R. ; NOVACHINSK, J. R. ; SILVA, L. É. P. ; LIMA, R. V.
 . IrriWeb: uma ferramenta para definir o manejo racional da irrigação. 
In: II Simpósio sobre Inovação e Criatividade Científica na Embrapa, 
2010, Brasília. Anais do II Simpósio sobre Inovação e Criatividade 
Científica na Embrapa, 2010. 
"
6,"


SILVA, L. É. P.; BRACHT, E. C.
 . Uma Nova Abordagem para o Cálculo do Balanço Hídrico Climatológico. 
In: I Simpósio de Computação Aplicada, 2009, Passo Fundo - RS. ANAIS do I
 Simpósio de Computação Aplicada 2176-8196. Passo Fundo - RS: Editora 
UPF, 2009. v. 1. 
"
7,"


FIETZ, C. R. ; COMUNELLO, E ; SILVA, L. É. P. ; SOUZA, P. S.
 . Sistema de Monitoramento Agroclimático da Região de Dourados, MS. In:
 7º Congresso Brasileiro de Agroinformática - SBIAgro 2009, 2009, Viçosa
 - MG. Anais do 7. Congresso Brasileiro de Agroinformática, 2009. 
"
8,"


SILVA, L. É. P.; PAIVA, D. M. B. ; BARBOSA, E. F. ; BRAGA, R. T. V. ; CAGNIN, M. I.
 . ONTO-ResAsset Development: An Ontology for Reusable Assets 
Specification and Management. In: 26th International Conference on 
Software Engineering and Knowledge Engineering (SEKE 2014), 2014, 
Vancouver. 26th International Conference on Software Engineering and 
Knowledge Engineering (SEKE 2014). Skokie: Knowledge Systems Institute 
Graduate School, 2014. p. 459-462. 
"
9,"
SILVA, L. É. P.; BRACHT, E. C. . Uma Nova Abordagem para o Cálculo do Balanço Hídrico Climatológico. 2009. (Apresentação de Trabalho/Simpósio). 
"
10,"
NECO, B. M. P. ; SILVA, L. É. P. ; SILVA, L. R. . Identificação de Domínio para Jogos Educacionais Digitais 2017 (Trabalho de Conclusão de Curso). 
"
11,"


SILVA, L. É. P.. ONTO-ResAsset: Ontologia de Ativos Reutilizáveis 2013 (Dissertação Mestrado). 
"
12,"
SILVA, L. É. P.. Virtualização do Museu de Arqueologia do Pantanal. 2019. 
"
13,"
FERMINO, L. M. ; SILVA, L. É. P. ; ASSEIS NETO, H. . Reconhecedor Ótico de Caracteres em Documentos da Língua Portuguesa com Baixa Nitidez. 2013. 
"
14,"
SILVA, L. É. P.; BRACHT, E. C. ; Fietz, C. R. . BHCMóvel. 2009. 
"
15,"
SILVA, L. É. P.. PHP Básico com MySql - III Semana Técnica de Computação SETEC. 2009. (Curso de curta duração ministrado/Extensão). 
"
16,"
SILVA, L. É. P..
 Etiqueta na Internet e Compulsão - VII Semana Unificada de Informática 
INFOWEEK. 2007. (Curso de curta duração ministrado/Extensão). 
"
17,"
VARGAS, J. C. ; SILVA, L. É. P. ; SANTOS, B. A. ; RIEDNER, D. D. T. ; SILVA, L. R. . Alfabrinque. 2016. 
                Patente:
                Programa de Computador.
            Número do registro: BR512017000043-3, data de registro: 
                    01/09/2016, título: ""Alfabrinque"" , Instituição de 
registro: INPI - Instituto Nacional da Propriedade Industrial.          
        
"
18,"
Silva, L. E. P.; SILVA, L. R. ; CASTRO, A. L. S. ; GUIA, K. R. ; BARROS, K. O. S. ; CRUZ, A. C. ; GUTIERREZ JUNIOR, J. L. B. ; SILVA, N. M. S. ; ALMEIDA, S. C. V. ; NEVES, A. P. . SIANE - Sistema de Informação para Ambiente Não Escolar. 2018. 
                Patente:
                Programa de Computador.
            Número do registro: BR512018052228-9, data de registro: 
                    20/09/2018, título: ""SIANE - Sistema de Informação 
para Ambiente Não Escolar"" , Instituição de registro: INPI - Instituto 
Nacional da Propriedade Industrial.          
        
"
19,"
SILVA, L. É. P.; RIEDNER, D. D. T. ; VIDAL, V. H. ; RODRIGUES, B. L. A. ; VALENTE, V. O. ; SILVA, V. L. L. ; GUIDORIZZI, V. A. . Tutorar. 2021. 
                Patente:
                Programa de Computador.
            Número do registro: BR512021000562-7, data de registro: 
                    30/03/2021, título: ""Tutorar"" , Instituição de 
registro: INPI - Instituto Nacional da Propriedade Industrial.          
        
"
20,"
SILVA, L. É. P.; LAITART, K. R. ; PETERLE, N. P. ; RAMBO, C. ; MELLO, C. A. S. ; VIDAL, V. H. . Cadeia de Custódia. 2021. 
                Patente:
                Programa de Computador.
            Número do registro: BR512021000563-5, data de registro: 
                    30/03/2021, título: ""Cadeia de Custódia"" , 
Instituição de registro: INPI - Instituto Nacional da Propriedade 
Industrial.          
        
"
21,"
MONTEIRO, A. C. S.; LIMA, C. A.; Silva, L. E. P..
  Participação em banca de Elis Andréa Pimentel Medina. Estudo de caso 
das condicionalidades do programa bolsa família no cras de Naviraí-MS. 
2016. Monografia (Aperfeiçoamento/Especialização em Especialização em 
Educação Pobreza e Desigualdade)  - Universidade Federal de Mato Grosso 
do Sul. 
"
22,"
MACHADO, M. O.; SILVA, L. É. P.; NEVES, A. P..
  Participação em banca de Thiago Soquere Ferreira.Sistema de Irrigação 
de Jardim Utilizando a Plataforma Arduíno.
							2016. Trabalho de Conclusão de Curso (Graduação em Sistemas de 
Informação)  - Universidade Federal de Mato Grosso do Sul. 
"
23,"
MACHADO, M. O.; Silva, L. E. P.; NEVES, A. P..  Participação em banca de Thiago Soquere Ferreira.Sistema de Irrigação de Jardim Utilizando a Plataforma Arduíno.
							2016. 
"
24,"
RODRIGUES, R. R.; SILVA, L. É. P.;
 SANTOS, A. M..  Participação em banca de Gabriela Winkler da Costa e 
Silva.Luiz Vilela : Acervo Videográfico ? O canal do GPLV, Grupo de 
Pesquisa Luiz Vilela no Yotube.
							2015. Trabalho de Conclusão de Curso (Graduação em Letras - 
Português e Inglês)  - Universidade Federal de Mato Grosso do Sul. 
"
25,"
ARAUJO, F. E. S.; SILVA, L. É. P.; BARROS, B. R. G. S.. Concurso Público - Edital PROGEP 042/2014.
							2014. Universidade Federal de Mato Grosso do Sul. 
"
26,"
BARROS, B. R. G. S.; GOMES, A. O.; SILVA, L. É. P.; SUEIRA, S. C.. Seleção de Professor Substituto do Curso de SISTEMAS DE INFORMAÇÃO/CPAN.
							2014. Universidade Federal de Mato Grosso do Sul. 
"
27,"
INTEGRA UFMS 2019. avaliação de 10 (DEZ) trabalho(s) apresentado(s) na modalidade banner. 2019. (Exposição). 
"
28,"
Semana da Computação 2019.
							2019. (Encontro). 
					
"
29,"
Feira de Ciências e Tecnologias do Pantanal - FECIPAN. Avaliação dos Trabalhos Científicos. 2014. (Feira). 
"
30,"
X Simpósio Brasileiro de Sistemas de Informação.
							2014. (Simpósio). 
					
"
31,"
I Simpósio de Computação Aplicada.Uma Nova Abordagem para o Cálculo do Balanço Hídrico Climatológico.
							2009. (Simpósio). 
					
"
32,"
I Congresso de Computaçao da Grande Dourados - CCGD. 2008. (Congresso). 
"
33,"
50º Congresso da União Nacional de Estudantes. 2007. (Congresso). 
"
