,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC,LINK INFOGRÁFICO
0,21CW,IEEE Conference on Norbert Wiener in the 21st Century,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IEEE+Conference+on+Norbert+Wiener+in+the+21st+Century&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,10.0,1.0,B4,B2,,
1,3DCVE,International Workshop on Collaborative Virtual Environments,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Collaborative+Virtual+Environments&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,6.0,1.0,B4,B3,,
2,3DIC,International 3D System Integration Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=evjhABQdhckJ.2018,Relevante,14,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,14.0,,B1,B1,,
3,3DIPM,"Three-Dimensional Image Processing, Measurement and Applications",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Three-Dimensional+Image+Processing%2C+Measurement+and+Applications&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,6.0,1.0,B5,B3,,
4,3DOR,Eurographics Workshop on 3D Object Retrieval,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Eurographics+Workshop+on+3D+Object+Retrieval&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,9,B2,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,9.0,1.0,B4,B2,,
5,3DTV,"3DTV Conference: The True Vision-Capture, Transmission and Display of 3D Video",1,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=UGI1glTIoVcJ.2018,nulo,9,B2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,9.0,,B1,B2,,
6,3DUI,IEEE Symposium on 3D User Interfaces,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=TdKRGdqFx4QJ.2018,Top10,19,A3,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,19.0,,B1,A4,,
7,3DV,International Conference on 3D Vision,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=A_JnpJHOiAEJ.2018,Top20,25,A2,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,25.0,,,A2,,
8,3PGCIC,"International Conference on P2P, Parallel, Grid, Cloud and Internet Computing",1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=6exX79YOdS8J.2018,nulo,13,B1,15/08/2021 03:07:40,15/08/2021 03:07:40,atualizado com sucesso,13.0,,B1,B1,,
9,A-TEST,"EST - International Workshop on Automating Test Case Design, Selection and Evaluation",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Automating+Test+Case+Design%2C+Selection+and+Evaluation&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:07:40,não encontrou a tag span: list index out of range,4.0,1.0,B4,B4,,
