,conferencias,qualis_conferencias,periodicos,qualis_periodicos
0,NA,,NA,
1,NA,,NA,
2,NA,,revista brasileira de computacao aplicada,
3,simposio brasileiro de informatica na educacao,,informatica na educacao,
4,NA,,informatica na educacao,
5,NA,,NA,
6,NA,,NA,
7,congresso brasileiro de agroinformatica,,NA,
8,international conference on software engineering,,NA,
9,NA,,NA,
10,NA,,NA,
11,NA,,NA,
12,NA,,NA,
13,NA,,NA,
14,NA,,NA,
15,NA,,NA,
16,NA,,NA,
17,NA,,data,
18,NA,,data,
19,NA,,data,
20,NA,,data,
21,NA,,participacao,
22,NA,,participacao,
23,NA,,participacao,
24,NA,,participacao,
25,NA,,NA,
26,NA,,NA,
27,NA,,NA,
28,NA,,NA,
29,NA,,NA,
30,simposio brasileiro de sistemas de informacao,,NA,
31,NA,,NA,
32,NA,,NA,
33,NA,,NA,
34,NA,,NA,
35,NA,,tematica,
36,NA,,NA,
37,NA,,NA,
38,NA,,NA,
39,NA,,NA,
40,NA,,NA,
41,NA,,NA,
42,NA,,NA,
43,NA,,NA,
44,NA,,NA,
45,NA,,NA,
46,NA,,NA,
47,NA,,NA,
48,NA,,NA,
49,NA,,NA,
50,NA,,NA,
51,NA,,NA,
52,NA,,NA,
53,NA,,NA,
54,NA,,NA,
55,NA,,NA,
56,NA,,data,
57,NA,,NA,
58,NA,,NA,
59,NA,,NA,
60,NA,,data,
61,NA,,data,
62,NA,,data,
63,NA,,NA,
64,NA,,revista brasileira de computacao aplicada,
65,NA,,NA,
66,NA,,revista brasileira de computacao aplicada,
67,simposio brasileiro de informatica na educacao,,informatica na educacao,
68,NA,,informatica na educacao,
69,NA,,NA,
70,NA,,NA,
71,congresso brasileiro de agroinformatica,,NA,
72,international conference on software engineering,,NA,
73,NA,,NA,
74,NA,,NA,
75,NA,,NA,
76,NA,,NA,
77,NA,,NA,
78,NA,,NA,
79,NA,,NA,
80,NA,,NA,
81,NA,,data,
82,NA,,data,
83,NA,,data,
84,NA,,data,
85,NA,,participacao,
86,NA,,participacao,
87,NA,,participacao,
88,NA,,participacao,
89,NA,,NA,
90,NA,,NA,
91,NA,,NA,
92,NA,,NA,
93,NA,,NA,
94,simposio brasileiro de sistemas de informacao,,NA,
95,NA,,NA,
96,NA,,NA,
97,NA,,NA,
98,NA,,NA,
99,NA,,tematica,
100,NA,,NA,
101,NA,,NA,
102,NA,,NA,
103,NA,,NA,
104,NA,,NA,
105,NA,,NA,
106,NA,,NA,
107,NA,,NA,
108,NA,,NA,
109,NA,,NA,
110,NA,,NA,
111,NA,,NA,
112,NA,,NA,
113,NA,,NA,
114,NA,,NA,
115,NA,,NA,
116,NA,,NA,
117,NA,,NA,
118,NA,,NA,
119,NA,,NA,
120,NA,,data,
121,NA,,NA,
122,NA,,NA,
123,NA,,NA,
124,NA,,data,
125,NA,,data,
126,NA,,data,
127,NA,,NA,
128,NA,,NA,
129,NA,,NA,
130,ieee latin-american conference on communications,,NA,
131,NA,,NA,
132,NA,,NA,
133,NA,,NA,
134,NA,,NA,
135,NA,,NA,
136,NA,,NA,
137,NA,,NA,
138,NA,,NA,
139,NA,,NA,
140,NA,,NA,
141,NA,,NA,
142,NA,,NA,
143,NA,,NA,
144,NA,,NA,
145,NA,,NA,
146,NA,,NA,
147,NA,,NA,
148,NA,,NA,
149,NA,,NA,
150,NA,,NA,
151,NA,,NA,
152,NA,,NA,
153,NA,,NA,
154,NA,,participacao,
155,NA,,participacao,
156,NA,,participacao,
157,NA,,participacao,
158,NA,,participacao,
159,NA,,participacao,
160,NA,,participacao,
161,NA,,participacao,
162,NA,,participacao,
163,NA,,participacao,
164,NA,,participacao,
165,NA,,participacao,
166,NA,,participacao,
167,NA,,participacao,
168,NA,,participacao,
169,NA,,participacao,
170,NA,,participacao,
171,NA,,participacao,
172,NA,,participacao,
173,NA,,participacao,
174,NA,,participacao,
175,NA,,participacao,
176,NA,,participacao,
